SinCos					
	desktop_32	desktop_64	laptop_32	laptop_64	tablet_32
StdLib	179.9536957	92.98304131	162.8084785	123.2181684	157.78789
Lookup	100	100	100	100	100
GTE	82.28514215	92.95617369	85.07954026	102.7868762	108.8143041
DX	65.3408725	80.64719148	64.31137149	91.00110594	83.03161227
DX_Est	57.72547152	61.91282228	57.50528739	66.57133087	64.1036295
					
BitCount					
	desktop_32	desktop_64	laptop_32	laptop_64	tablet_32
Lookup	100	100	100	100	100
SSE2	14.58106797	45.97619823	20.09557259	54.19812104	32.25625402
SSSE3	19.56030359	59.17546616	24.53645872	74.53063189	49.57154478
POPCNT	19.48515159	30.89744576	20.69146076	33.29716138	30.94231022
